text,speaker,season,episode,scene,utterance,emotion
"I'm supposed to attach a brackety thing to the side things, using a bunch of these little worm guys. I have no brackety thing, I see no worm guys whatsoever and- I cannot feel my legs.",Ross Geller,1,1,4,1,Mad
I'm thinking we've got a bookcase here.,Joey Tribbiani,1,1,4,3,Neutral
It's a beautiful thing.,Chandler Bing,1,1,4,4,Joyful
What's this?,Joey Tribbiani,1,1,4,5,Neutral
I would have to say that is an 'L'-shaped bracket.,Chandler Bing,1,1,4,6,Neutral
Which goes where?,Joey Tribbiani,1,1,4,7,Neutral
I have no idea.,Chandler Bing,1,1,4,8,Scared
Done with the bookcase!,Joey Tribbiani,1,1,4,10,Joyful
All finished!,Chandler Bing,1,1,4,11,Joyful
"This was Carol's favorite beer. She always drank it out of the can, I should have known.",Ross Geller,1,1,4,12,Sad
"Hey-hey-hey-hey, if you're gonna start with that stuff we're outta here.",Joey Tribbiani,1,1,4,13,Mad
"Yes, please don't spoil all this fun.",Chandler Bing,1,1,4,14,Scared
"Ross, let me ask you a question. She got the furniture, the stereo, the good TV- what did you get?",Joey Tribbiani,1,1,4,15,Neutral
You guys.,Ross Geller,1,1,4,16,Sad
"Oh, God.",Chandler Bing,1,1,4,17,Sad
You got screwed.,Joey Tribbiani,1,1,4,18,Mad
Oh my God!,Chandler Bing,1,1,4,19,Mad
Oh my God!,Monica Geller,1,1,5,1,Mad
"I know, I know, I'm such an idiot. I guess I should have caught on when she started going to the dentist four and five times a week. I mean, how clean can teeth get?",Paul the Wine Guy,1,1,5,2,Sad
"My brother's going through that right now, he's such a mess. How did you get through it?",Monica Geller,1,1,5,3,Sad
"Well, you might try accidentally breaking something valuable of hers, say her-",Paul the Wine Guy,1,1,5,4,Powerful
-leg?,Monica Geller,1,1,5,5,Joyful
"That's one way! Me, I- I went for the watch.",Paul the Wine Guy,1,1,5,6,Joyful
"You actually broke her watch? Wow! The worst thing I ever did was, I-I shredded by boyfriend's favorite bath towel.",Monica Geller,1,1,5,7,Powerful
"Ooh, steer clear of you.",Paul the Wine Guy,1,1,5,8,Peaceful
That's right.,Monica Geller,1,1,5,9,Powerful
I'm divorced! I'm only 26 and I'm divorced!,Ross Geller,1,1,7,1,Sad
Shut up!,Joey Tribbiani,1,1,7,2,Mad
You must stop!,Chandler Bing,1,1,7,3,Mad
That only took me an hour.,Ross Geller,1,1,7,4,Sad
"Look, Ross, you gotta understand, between us we haven't had a relationship that has lasted longer than a Mento. You, however have had the love of a woman for four years. Four years of closeness and sharing at the end of which she ripped your heart out, and that is why we don't do it! I don't think that was my point!",Chandler Bing,1,1,7,5,Sad
"You know what the scariest part is? What if there's only one woman for everybody, y'know? I mean what if you get one woman- and that's it? Unfortunately in my case, there was only one woman- for her...",Ross Geller,1,1,7,6,Scared
"What are you talking about? 'One woman'? That's like saying there's only one flavor of ice cream for you. Lemme tell you something, Ross. There's lots of flavors out there. There's Rocky Road, and Cookie Dough, and Bing! Cherry Vanilla. You could get 'em with Jimmies, or nuts, or whipped cream! This is the best thing that ever happened to you! You got married, you were, like, what, eight? Welcome back to the world! Grab a spoon!",Joey Tribbiani,1,1,7,7,Powerful
I honestly don't know if I'm hungry or horny.,Ross Geller,1,1,7,8,Scared
Stay out of my freezer!,Chandler Bing,1,1,7,9,Mad
"Ever since she walked out on me, I, uh...",Paul the Wine Guy,1,1,8,1,Sad
"What?..... What, you wanna spell it out with noodles?",Monica Geller,1,1,8,2,Neutral
"No, it's, it's more of a fifth date kinda revelation.",Paul the Wine Guy,1,1,8,3,Sad
