season,episode,title,directed_by,written_by,air_date,us_views_millions,imdb_rating
1,1,The Pilot,James Burrows,David Crane & Marta Kauffman,9/22/94,21.5,8.3
1,2,The One with the Sonogram at the End,James Burrows,David Crane & Marta Kauffman,9/29/94,20.2,8.1
1,3,The One with the Thumb,James Burrows,Jeffrey Astrof & Mike Sikowitz,10/6/94,19.5,8.2
1,4,The One with George Stephanopoulos,James Burrows,Alexa Junge,10/13/94,19.7,8.1
1,5,The One with the East German Laundry Detergent,Pamela Fryman,Jeff Greenstein & Jeff Strauss,10/20/94,18.6,8.5
1,6,The One with the Butt,Arlene Sanford,Adam Chase & Ira Ungerleider,10/27/94,18.2,8.1
1,7,The One with the Blackout,James Burrows,Jeffrey Astrof & Mike Sikowitz,11/3/94,23.5,9
1,8,The One Where Nana Dies Twice,James Burrows,Marta Kauffman & David Crane,11/10/94,21.1,8.1
1,9,The One Where Underdog Gets Away,James Burrows,Jeff Greenstein & Jeff Strauss,11/17/94,23.1,8.2
1,10,The One with the Monkey,Peter Bonerz,Adam Chase & Ira Ungerleider,12/15/94,19.9,8.1
1,11,The One with Mrs. Bing,James Burrows,Alexa Junge,1/5/95,26.6,8.2
1,12,The One with the Dozen Lasagnas,Paul Lazarus,Jeffrey Astrof & Mike Sikowitz & Adam Chase & Ira Ungerleider,1/12/95,24,8.2
1,13,The One with the Boobies,Alan Myerson,Alexa Junge,1/19/95,25.8,8.7
1,14,The One with the Candy Hearts,James Burrows,Bill Lawrence,2/9/95,23.8,8.3
1,15,The One with the Stoned Guy,Alan Myerson,Jeff Greenstein & Jeff Strauss,2/16/95,24.8,8.2
1,16,The One with Two Parts: Part 1,Michael Lembeck,Marta Kauffman & David Crane,2/23/95,26.1,8.2
1,17,The One with Two Parts: Part 2,Michael Lembeck,Marta Kauffman & David Crane,2/23/95,30.5,8.5
1,18,The One with All the Poker,James Burrows,Jeffrey Astrof & Mike Sikowitz,3/2/95,30.4,8.8
1,19,The One Where the Monkey Gets Away,Peter Bonerz,Jeffrey Astrof & Mike Sikowitz,3/9/95,29.4,8.1
1,20,The One with the Evil Orthodontist,Peter Bonerz,Doty Abrams,4/6/95,30,7.9
1,21,The One with the Fake Monica,Gail Mancuso,Adam Chase & Ira Ungerleider,4/27/95,28.4,7.9
1,22,The One with the Ick Factor,Robby Benson,Alexa Junge,5/4/95,29.9,8.3
1,23,The One with the Birth,James Burrows,Story by: David Crane & Marta KauffmanTeleplay by: Jeff Greenstein & Jeff Strauss,5/11/95,28.7,8.7
1,24,The One Where Rachel Finds Out,Kevin S. Bright,Chris Brown,5/18/95,31.3,8.9
2,1,The One with Ross's New Girlfriend,Michael Lembeck,Jeffrey Astrof & Mike Sikowitz,9/21/95,32.1,8.5
2,2,The One with the Breast Milk,Michael Lembeck,Adam Chase & Ira Ungerleider,9/28/95,29.8,8.2
2,3,The One Where Heckles Dies,Kevin S. Bright,Michael Curtis & Gregory S. Malins,10/5/95,30.2,8.4
2,4,The One with Phoebe's Husband,Gail Mancuso,Alexa Junge,10/12/95,28.1,8
2,5,The One with Five Steaks and an Eggplant,Ellen Gittelsohn,Chris Brown,10/19/95,28.3,8.3
2,6,The One with the Baby on the Bus,Gail Mancuso,Betsy Borns,11/2/95,30.2,8.6
2,7,The One Where Ross Finds Out,Peter Bonerz,Michael Borkow,11/9/95,30.5,9
2,8,The One with the List,Mary Kay Place,David Crane & Marta Kauffman,11/16/95,32.9,8.5
2,9,The One with Phoebe's Dad,Kevin S. Bright,Jeffrey Astrof & Mike Sikowitz,12/14/95,27.8,8
2,10,The One with Russ,Thomas Schlamme,Ira Ungerleider,1/4/96,32.2,8
2,11,The One with the Lesbian Wedding,Thomas Schlamme,Doty Abrams,1/18/96,31.6,8.1
2,12,The One After the Superbowl,Michael Lembeck,Jeffrey Astrof & Mike Sikowitz,1/28/96,52.9,8.6
2,13,The One After the Superbowl,Michael Lembeck,Michael Borkow,1/28/96,52.9,8.8
2,14,The One with the Prom Video,James Burrows,Alexa Junge,2/1/96,33.6,9.4
2,15,The One Where Ross and Rachel...You Know,Michael Lembeck,Michael Curtis & Gregory S. Malins,2/8/96,32.9,8.9
2,16,The One Where Joey Moves Out,Michael Lembeck,Betsy Borns,2/15/96,31.1,8.6
2,17,The One Where Eddie Moves In,Michael Lembeck,Adam Chase,2/22/96,30.2,8.3
