text,speaker,season,episode,scene,utterance
"Everybody? Shh, shhh. Uhhh... Central Perk is proud to present the music of Miss Phoebe Buffay.",Rachel Green,1,7,1,1
(applause),Scene Directions,1,7,1,2
"Hi. Um, I want to start with a song thats about that moment when you suddenly realize what life is all about. OK, here we go. OK, thank you very much.",Phoebe Buffay,1,7,1,3
"Oh, great. This is just...",Chandler Bing,1,7,2,1
(Chandler sees that there is a gorgeous model inside the vestibule with him. He makes a gesture of quiet exuberance.),Scene Directions,1,7,2,2
"Wow, this is so cool, you guys. The entire city is blacked out!",Rachel Green,1,7,3,1
"Mom says it's all of Manhattan, parts of Brooklyn and Queens, and they have no idea when it's coming back on.",Monica Geller,1,7,3,2
"Wow, you guys, this is big.",Rachel Green,1,7,3,3
"Pants and a sweater? Why, mom? Who am I gonna meet in a blackout? Power company guys? Eligible looters? Could we talk about this later? OK.",Monica Geller,1,7,3,4
Can I borrow the phone? I want to call my apartment and check on my grandma. What's my number?,Phoebe Buffay,1,7,3,5
(Monica and Rachel look at Phoebe strangely.),Scene Directions,1,7,3,6
"Well, I never call me.",Phoebe Buffay,1,7,3,7
"Oh my God, it's that Victoria's Secret model. Something... something Goodacre.",Chandler Bing,1,7,4,1
"Hi Mom, it's Jill.",Jill Goodacre,1,7,4,2
"She's right, it's Jill. Jill Goodacre. Oh my God. I am trapped in an ATM vestibule with Jill Goodacre! Is it a vestibule? Maybe it's an atrium. Oh, yeah, that is the part to focus on, you idiot!",Chandler Bing,1,7,4,3
"Yeah, I'm fine. I'm just stuck at the bank, in an ATM vestibule.",Jill Goodacre,1,7,4,4
Jill says vestibule... I'm going with vestibule.,Chandler Bing,1,7,4,5
"I'm fine. No, I'm not alone... I don't know, some guy.",Jill Goodacre,1,7,4,6
"Oh! Some guy. Some guy. 'Hey Jill, I saw you with some guy last night. Yes, he was some guy.",Chandler Bing,1,7,4,7
(Chandler strides proudly across the vestibule and Jill stares at him.),Scene Directions,1,7,4,8
Hi everyone.,Joey Tribbiani,1,7,5,1
"And officiating at tonight's blackout, is Rabbi Tribbiani.",Ross Geller,1,7,5,2
"Well, Chandler's old roomate was Jewish, and these are the only candles we have, so... Happy Chanukah, everyone.",Joey Tribbiani,1,7,5,3
"Eww, look. Ugly Naked Guy lit a bunch of candles.",Phoebe Buffay,1,7,5,4
"(They all look at the window, grossed out, then flinch in pain.)",Scene Directions,1,7,5,5
That had to hurt!,Rachel Green,1,7,5,6
"Alright, alright, alright. It's been fourteen and a half minutes and you still have not said one word. Oh God, do something. Just make contact, smile!",Chandler Bing,1,7,6,1
"(Chandler smiles at her, she smiles back sweetly.)",Scene Directions,1,7,6,2
There you go!,Chandler Bing,1,7,6,3
"(He continues to smile like an idiot, and she looks frightened.)",Scene Directions,1,7,6,4
You're definitely scaring here.,Chandler Bing,1,7,6,5
Would you like to call somebody?,Jill Goodacre,1,7,6,6
"Yeah, about 300 guys I went to high school with. Yeah, thanks.",Chandler Bing,1,7,6,7
Hello?,Monica Geller,1,7,7,1
"Hey, it's me.",Chandler Bing,1,7,7,2
It's Chandler! Are you OK?,Monica Geller,1,7,7,3
"Yeah, I'm fine. I'm trppd in an ATM vstbl wth Jll Gdcr.",Chandler Bing,1,7,7,4
What?,Monica Geller,1,7,7,5
I'm trppd... in an ATM vstbl... wth Jll Gdcr!,Chandler Bing,1,7,7,6
I have no idea what you just said.,Monica Geller,1,7,7,7
Put Joey on the phone.,Chandler Bing,1,7,7,8
What's up man?,Joey Tribbiani,1,7,7,9
I'm trppd... in an ATM vstbl... wth JLL GDCR.,Chandler Bing,1,7,7,10
"Oh my God! He's trapped in an ATM vestibule with Jill Goodacre! Chandler, listen.",Joey Tribbiani,1,7,7,11
"Yeah, like that thought never entered my mind.",Chandler Bing,1,7,7,12
"Alright, somebody.",Rachel Green,1,7,8,1
"OK, I'll go. OK, senior year of college... on a pool table.",Monica Geller,1,7,8,2
Whoooaa!,#ALL#,1,7,8,3
That's my sister.,Ross Geller,1,7,8,4
OK... my weirdest place would have to be... the women's room on the second floor of the New York CIty public library.,Joey Tribbiani,1,7,8,5
Oh my God! What were you doing in a library?,Monica Geller,1,7,8,6
"Pheebs, what about you?",Ross Geller,1,7,8,7
Oh... Milwaukee.,Phoebe Buffay,1,7,8,8
Um... Ross?,Rachel Green,1,7,8,9
"Disneyland, 1989, 'It's a Small World After All.'",Ross Geller,1,7,8,10
No way!,#ALL#,1,7,8,11
"The ride broke down. So, Carol and I went behind a couple of those mechanical Dutch children... then they fixed the ride, and we were asked never to return to the Magic Kingdom.",Ross Geller,1,7,8,12
"Oh, Rachel.",Phoebe Buffay,1,7,8,13
"Oh come on, I already went.",Rachel Green,1,7,8,14
You did not go!,Monica Geller,1,7,8,15
Come on.,#ALL#,1,7,8,16
"Oh, alright. The weirdest place would have to be... ... oh, the foot of the bed.",Rachel Green,1,7,8,17
Step back.,Ross Geller,1,7,8,18
We have a winner!,Joey Tribbiani,1,7,8,19
"[Time lapse, Ross and Rachel are talking, Joey is on the couch, and Monica and Phoebe are out of the room.]",Scene Directions,1,7,8,20
"I just never had a relationship with that kind of passion, you know, where you have to have somebody right there, in the middle of a theme park.",Rachel Green,1,7,8,21
